index,final_filename,document,figure_id,asset_mode,parts_min,input_files,description,tex_file,tex_line
40,40.png,PMI,6.7.1,single,1,40_1.png,Подтверждение подпункта 6.7.1: Продление окончания поездки,docs/latex/pmi.tex,549
41,41.png,PMI,6.7.2,single,1,41_1.png,Подтверждение подпункта 6.7.2: Удаление лишних дней,docs/latex/pmi.tex,555
42,42.png,PMI,6.8.1,single,1,42_1.png,Подтверждение подпункта 6.8.1: Создание расхода,docs/latex/pmi.tex,562
43,43.png,PMI,6.8.2,collage_recommended,2,43_1.png|43_2.png,Подтверждение подпункта 6.8.2: Просмотр баланса и деталей расхода,docs/latex/pmi.tex,568
44,44.png,PMI,6.8.3,single,1,44_1.png,Подтверждение подпункта 6.8.3: Изменение статуса оплаты,docs/latex/pmi.tex,574
45,45.png,PMI,6.8.4,single,1,45_1.png,Подтверждение подпункта 6.8.4: Валидация обязательных полей,docs/latex/pmi.tex,580
46,46.png,PMI,6.9.1,single,1,46_1.png,Подтверждение подпункта 6.9.1: Отображение прогноза,docs/latex/pmi.tex,587
47,47.png,PMI,6.9.2,single,1,47_1.png,Подтверждение подпункта 6.9.2: Обновление прогноза,docs/latex/pmi.tex,593
48,48.png,PMI,6.10.1,single,1,48_1.png,Подтверждение подпункта 6.10.1: Генерация подсказок,docs/latex/pmi.tex,600
49,49.png,PMI,6.10.2,collage_recommended,2,49_1.png|49_2.png,Подтверждение подпункта 6.10.2: Сохранение подсказки в идеи,docs/latex/pmi.tex,606
50,50.png,PMI,6.11.1,collage_required,2,50_1.png|50_2.png,Подтверждение подпункта 6.11.1: Сохранение настроек уведомлений,docs/latex/pmi.tex,613
51,51.png,PMI,6.11.2,single,1,51_1.png,Подтверждение подпункта 6.11.2: Переход по уведомлению,docs/latex/pmi.tex,619
52,52.png,PMI,6.12.1,single,1,52_1.png,Подтверждение подпункта 6.12.1: Работа без сети,docs/latex/pmi.tex,626
53,53.png,PMI,6.12.2,single,1,53_1.png,Подтверждение подпункта 6.12.2: Действия в офлайн-режиме,docs/latex/pmi.tex,632
54,54.png,PMI,6.12.3,single,1,54_1.png,Подтверждение подпункта 6.12.3: Восстановление после возврата сети,docs/latex/pmi.tex,638
55,55.png,PMI,6.13.1,single,1,55_1.png,Подтверждение подпункта 6.13.1: Русский язык интерфейса,docs/latex/pmi.tex,645
56,56.png,PMI,6.13.2,single,1,56_1.png,Подтверждение подпункта 6.13.2: Английский язык интерфейса,docs/latex/pmi.tex,651
57,57.png,PMI,6.14.1,single,1,57_1.png,Подтверждение подпункта 6.14.1: Валидация пользовательского ввода,docs/latex/pmi.tex,658
58,58.png,PMI,6.14.2,single,1,58_1.png,Подтверждение подпункта 6.14.2: Сетевая ошибка,docs/latex/pmi.tex,664
59,59.png,PMI,6.14.3,single,1,59_1.png,Подтверждение подпункта 6.14.3: Устойчивость приложения,docs/latex/pmi.tex,670
60,60.png,PMI,6.15.1,single,1,60_1.png,Подтверждение подпункта 6.15.1: Перезапуск приложения,docs/latex/pmi.tex,677
61,61.png,PMI,6.15.2,single,1,61_1.png,Подтверждение подпункта 6.15.2: Продолжение пользовательского сценария,docs/latex/pmi.tex,683
62,62.png,PMI,6.16.1,collage_required,2,62_1.png|62_2.png,Подтверждение подпункта 6.16.1: Индикатор при получении подсказок,docs/latex/pmi.tex,690
63,63.png,PMI,6.16.2,collage_required,2,63_1.png|63_2.png,Подтверждение подпункта 6.16.2: Индикатор при обновлении погоды,docs/latex/pmi.tex,696
64,64.png,PMI,6.16.3,collage_required,2,64_1.png|64_2.png,Подтверждение подпункта 6.16.3: Индикатор при сохранении данных,docs/latex/pmi.tex,702
