index,filename,document,figure_id,section,description,asset_mode,parts_min,collage_note,tex_file,tex_line
23,23.png,PMI,6.3.6,6 Методы испытаний,Подтверждение подпункта 6.3.6: Сохранение ранее созданной поездки с исходным диапазоном дат,single,1,,docs/latex/pmi/pmi.tex,438
24,24.png,PMI,6.4.1,6 Методы испытаний,Подтверждение подпункта 6.4.1: Генерация ссылки-приглашения,single,1,,docs/latex/pmi/pmi.tex,445
25,25.png,PMI,6.4.2,6 Методы испытаний,Подтверждение подпункта 6.4.2: Присоединение по ссылке,single,1,,docs/latex/pmi/pmi.tex,453
26,26.png,PMI,6.4.3,6 Методы испытаний,Подтверждение подпункта 6.4.3: Повторное присоединение,single,1,,docs/latex/pmi/pmi.tex,459
27,27.png,PMI,6.4.4,6 Методы испытаний,Подтверждение подпункта 6.4.4: Невалидная ссылка,single,1,,docs/latex/pmi/pmi.tex,465
28,28.png,PMI,6.5.1,6 Методы испытаний,Подтверждение подпункта 6.5.1: Создание и редактирование идеи,single,1,,docs/latex/pmi/pmi.tex,472
29,29.png,PMI,6.5.2,6 Методы испытаний,Подтверждение подпункта 6.5.2: Изменение статуса идеи,single,1,,docs/latex/pmi/pmi.tex,478
30,30.png,PMI,6.5.3,6 Методы испытаний,Подтверждение подпункта 6.5.3: Добавление идеи в день маршрута,single,1,,docs/latex/pmi/pmi.tex,484
31,31.png,PMI,6.5.4,6 Методы испытаний,Подтверждение подпункта 6.5.4: Комментарии к идее,single,1,,docs/latex/pmi/pmi.tex,490
32,32.png,PMI,6.5.5,6 Методы испытаний,Подтверждение подпункта 6.5.5: Валидация идеи и комментария,single,1,,docs/latex/pmi/pmi.tex,498
33,33.png,PMI,6.5.6,6 Методы испытаний,Подтверждение подпункта 6.5.6: Удаление идеи,single,1,,docs/latex/pmi/pmi.tex,504
34,34.png,PMI,6.6.1,6 Методы испытаний,Подтверждение подпункта 6.6.1: Работа с городом дня,single,1,,docs/latex/pmi/pmi.tex,512
35,35.png,PMI,6.6.2,6 Методы испытаний,Подтверждение подпункта 6.6.2: Создание и редактирование активности,single,1,,docs/latex/pmi/pmi.tex,518
36,36.png,PMI,6.6.3,6 Методы испытаний,Подтверждение подпункта 6.6.3: Изменение порядка активностей,collage_recommended,2,Желательно показать до/после изменения порядка активностей.,docs/latex/pmi/pmi.tex,524
37,37.png,PMI,6.6.4,6 Методы испытаний,Подтверждение подпункта 6.6.4: Перенос активности между днями,single,1,,docs/latex/pmi/pmi.tex,530
38,38.png,PMI,6.6.5,6 Методы испытаний,Подтверждение подпункта 6.6.5: Удаление активности,single,1,,docs/latex/pmi/pmi.tex,536
39,39.png,PMI,6.6.6,6 Методы испытаний,Подтверждение подпункта 6.6.6: Валидация названия активности,single,1,,docs/latex/pmi/pmi.tex,542
40,40.png,PMI,6.7.1,6 Методы испытаний,Подтверждение подпункта 6.7.1: Продление окончания поездки,single,1,,docs/latex/pmi/pmi.tex,549
41,41.png,PMI,6.7.2,6 Методы испытаний,Подтверждение подпункта 6.7.2: Удаление лишних дней,single,1,,docs/latex/pmi/pmi.tex,555
42,42.png,PMI,6.8.1,6 Методы испытаний,Подтверждение подпункта 6.8.1: Создание расхода,single,1,,docs/latex/pmi/pmi.tex,562
43,43.png,PMI,6.8.2,6 Методы испытаний,Подтверждение подпункта 6.8.2: Просмотр баланса и деталей расхода,collage_recommended,2,Желательно показать список расходов и карточку расхода.,docs/latex/pmi/pmi.tex,568
44,44.png,PMI,6.8.3,6 Методы испытаний,Подтверждение подпункта 6.8.3: Изменение статуса оплаты,single,1,,docs/latex/pmi/pmi.tex,574
45,45.png,PMI,6.8.4,6 Методы испытаний,Подтверждение подпункта 6.8.4: Валидация обязательных полей,single,1,,docs/latex/pmi/pmi.tex,580
46,46.png,PMI,6.9.1,6 Методы испытаний,Подтверждение подпункта 6.9.1: Отображение прогноза,single,1,,docs/latex/pmi/pmi.tex,587
47,47.png,PMI,6.9.2,6 Методы испытаний,Подтверждение подпункта 6.9.2: Обновление прогноза,single,1,,docs/latex/pmi/pmi.tex,593
48,48.png,PMI,6.10.1,6 Методы испытаний,Подтверждение подпункта 6.10.1: Генерация подсказок,single,1,,docs/latex/pmi/pmi.tex,600
49,49.png,PMI,6.10.2,6 Методы испытаний,Подтверждение подпункта 6.10.2: Сохранение подсказки в идеи,collage_recommended,2,Желательно показать сохранение подсказки и ее появление в идеях.,docs/latex/pmi/pmi.tex,606
50,50.png,PMI,6.11.1,6 Методы испытаний,Подтверждение подпункта 6.11.1: Сохранение настроек уведомлений,collage_required,2,Нужны два состояния: до/после повторного открытия экрана настроек.,docs/latex/pmi/pmi.tex,613
51,51.png,PMI,6.11.2,6 Методы испытаний,Подтверждение подпункта 6.11.2: Переход по уведомлению,single,1,,docs/latex/pmi/pmi.tex,619
52,52.png,PMI,6.12.1,6 Методы испытаний,Подтверждение подпункта 6.12.1: Работа без сети,single,1,,docs/latex/pmi/pmi.tex,626
53,53.png,PMI,6.12.2,6 Методы испытаний,Подтверждение подпункта 6.12.2: Действия в офлайн-режиме,single,1,,docs/latex/pmi/pmi.tex,632
54,54.png,PMI,6.12.3,6 Методы испытаний,Подтверждение подпункта 6.12.3: Восстановление после возврата сети,single,1,,docs/latex/pmi/pmi.tex,638
55,55.png,PMI,6.13.1,6 Методы испытаний,Подтверждение подпункта 6.13.1: Русский язык интерфейса,single,1,,docs/latex/pmi/pmi.tex,645
56,56.png,PMI,6.13.2,6 Методы испытаний,Подтверждение подпункта 6.13.2: Английский язык интерфейса,single,1,,docs/latex/pmi/pmi.tex,651
57,57.png,PMI,6.14.1,6 Методы испытаний,Подтверждение подпункта 6.14.1: Валидация пользовательского ввода,single,1,,docs/latex/pmi/pmi.tex,658
58,58.png,PMI,6.14.2,6 Методы испытаний,Подтверждение подпункта 6.14.2: Сетевая ошибка,single,1,,docs/latex/pmi/pmi.tex,664
59,59.png,PMI,6.14.3,6 Методы испытаний,Подтверждение подпункта 6.14.3: Устойчивость приложения,single,1,,docs/latex/pmi/pmi.tex,670
60,60.png,PMI,6.15.1,6 Методы испытаний,Подтверждение подпункта 6.15.1: Перезапуск приложения,single,1,,docs/latex/pmi/pmi.tex,677
61,61.png,PMI,6.15.2,6 Методы испытаний,Подтверждение подпункта 6.15.2: Продолжение пользовательского сценария,single,1,,docs/latex/pmi/pmi.tex,683
62,62.png,PMI,6.16.1,6 Методы испытаний,Подтверждение подпункта 6.16.1: Индикатор при получении подсказок,collage_required,2,Нужны два состояния: индикатор загрузки и итоговый результат.,docs/latex/pmi/pmi.tex,690
63,63.png,PMI,6.16.2,6 Методы испытаний,Подтверждение подпункта 6.16.2: Индикатор при обновлении погоды,collage_required,2,Нужны два состояния: индикатор загрузки и итоговый результат.,docs/latex/pmi/pmi.tex,696
64,64.png,PMI,6.16.3,6 Методы испытаний,Подтверждение подпункта 6.16.3: Индикатор при сохранении данных,collage_required,2,Нужны два состояния: индикатор сохранения и итоговый экран.,docs/latex/pmi/pmi.tex,702
